CODE,DECLARANT,YEAR,MONTH,PERIOD,IMPORT_QUANTITY_TON,EXPORT_QUANTITY_TON,CONSUMPTION_TON,CONSUMPTION_G,CONSUMPTION_AVO,POPULATION_SIZE,CONSUMPTION_AVO_PP
NLD,003 Netherlands,2014,Feb,201402 Feb. 2014,10382.10,7544.20,2837.90,2837900000.00,15766111.11,16829289,0.9368
NLD,003 Netherlands,2014,Mrt,201403 Mar. 2014,10846.90,7816.70,3030.20,3030200000.00,16834444.44,16829289,1.0003
NLD,003 Netherlands,2014,Apr,201404 Apr. 2014,14750.20,12824.80,1925.40,1925400000.00,10696666.67,16829289,0.6356
NLD,003 Netherlands,2014,Mei,201405 May. 2014,20217.40,17091.40,3126.00,3126000000.00,17366666.67,16829289,1.0319
NLD,003 Netherlands,2014,Jun,201406 Jun. 2014,18417.60,13011.40,5406.20,5406200000.00,30034444.44,16829289,1.7847
NLD,003 Netherlands,2014,Jul,201407 Jul. 2014,15697.30,9573.40,6123.90,6123900000.00,34021666.67,16829289,2.0216
NLD,003 Netherlands,2014,Aug,201408 Aug. 2014,17260.60,9867.90,7392.70,7392700000.00,41070555.56,16829289,2.4404
NLD,003 Netherlands,2014,Sep,201409 Sep. 2014,13898.70,9732.10,4166.60,4166600000.00,23147777.78,16829289,1.3754
NLD,003 Netherlands,2014,Okt,201410 Oct. 2014,13582.10,9548.40,4033.70,4033700000.00,22409444.44,16829289,1.3316
NLD,003 Netherlands,2014,Nov,201411 Nov. 2014,11792.20,12071.50,-279.30,-279300000.00,-1551666.67,16829289,-0.0922
NLD,003 Netherlands,2014,Dec,201412 Dec. 2014,11255.70,8315.30,2940.40,2940400000.00,16335555.56,16829289,0.9707
NLD,003 Netherlands,2015,Jan,201501 Jan. 2015,9076.90,14723.10,-5646.20,-5646200000.00,-31367777.78,16900726,-1.8560
NLD,003 Netherlands,2015,Feb,201502 Feb. 2015,9953.00,8043.20,1909.80,1909800000.00,10610000.00,16900726,0.6278
NLD,003 Netherlands,2015,Mrt,201503 Mar. 2015,12124.50,10727.20,1397.30,1397300000.00,7762777.78,16900726,0.4593
NLD,003 Netherlands,2015,Apr,201504 Apr. 2015,16307.90,12481.30,3826.60,3826600000.00,21258888.89,16900726,1.2579
NLD,003 Netherlands,2015,Mei,201505 May. 2015,23106.10,12007.90,11098.20,11098200000.00,61656666.67,16900726,3.6482
NLD,003 Netherlands,2015,Jun,201506 Jun. 2015,19034.50,13177.90,5856.60,5856600000.00,32536666.67,16900726,1.9252
NLD,003 Netherlands,2015,Jul,201507 Jul. 2015,16054.00,14005.30,2048.70,2048700000.00,11381666.67,16900726,0.6734
NLD,003 Netherlands,2015,Aug,201508 Aug. 2015,19288.20,10901.50,8386.70,8386700000.00,46592777.78,16900726,2.7569
NLD,003 Netherlands,2015,Sep,201509 Sep. 2015,17138.50,13291.30,3847.20,3847200000.00,21373333.33,16900726,1.2646
NLD,003 Netherlands,2015,Okt,201510 Oct. 2015,15884.50,13782.30,2102.20,2102200000.00,11678888.89,16900726,0.6910
