CODE,DECLARANT,YEAR ,QUANTITY_TON,PRODUCTION,QUANTITY_TON,CONSUMPTION_TON,CONSUMPTION_G,CONSUMPTION_AVO,POPULATION,AVO_PP_YEAR
AUT,Austria,2013,3420.1,0,558,2862.1,2862100000,15900555.56,8451860,1.88
AUT,Austria,2014,4420.3,0,681.9,3738.4,3738400000,20768888.89,8507786,2.44
AUT,Austria,2015,5810.2,0,839.3,4970.9,4970900000,27616111.11,8584926,3.22
MLT,Malta,2010,85.3,0,0,85.3,85300000,473888.8889,414027,1.14
MLT,Malta,2011,75.5,0,0,75.5,75500000,419444.4444,414989,1.01
MLT,Malta,2012,86.4,0,0,86.4,86400000,480000,417546,1.15
MLT,Malta,2013,105.7,0,0,105.7,105700000,587222.2222,422509,1.39
MLT,Malta,2014,178.5,0,0,178.5,178500000,991666.6667,429424,2.31
MLT,Malta,2015,311.3,0,0,311.3,311300000,1729444.444,439691,3.93
EST,Estonia,2010,261.9,0,0.3,261.6,261600000,1453333.333,1333290,1.09
EST,Estonia,2011,265.9,0,0.2,265.7,265700000,1476111.111,1329660,1.11
EST,Estonia,2012,285.3,0,3.4,281.9,281900000,1566111.111,1325217,1.18
EST,Estonia,2013,565.9,0,0,565.9,565900000,3143888.889,1320174,2.38
EST,Estonia,2014,751.7,0,0.1,751.6,751600000,4175555.556,1315819,3.17
EST,Estonia,2015,1014.8,0,4.4,1010.4,1010400000,5613333.333,1314870,4.27
LVA,Latvia,2010,2126.4,0,440.3,1686.1,1686100000,9367222.222,2120504,4.42
LVA,Latvia,2011,2819.2,0,771.1,2048.1,2048100000,11378333.33,2074605,5.48
LVA,Latvia,2012,3064.3,0,654.6,2409.7,2409700000,13387222.22,2044813,6.55
LVA,Latvia,2013,3543.3,0,979.3,2564,2564000000,14244444.44,2023825,7.04
LVA,Latvia,2014,3250.8,0,1055.8,2195,2195000000,12194444.44,2001468,6.09
LVA,Latvia,2015,2421.9,0,824.3,1597.6,1597600000,8875555.556,1986096,4.47
LTU,Lithuania,2010,3884.4,0,3181,703.4,703400000,3907777.778,3141976,1.24
LTU,Lithuania,2011,4613.3,0,3857.8,755.5,755500000,4197222.222,3052588,1.37
LTU,Lithuania,2012,5684.5,0,4593.9,1090.6,1090600000,6058888.889,3003641,2.02
LTU,Lithuania,2013,6502.6,0,5210.3,1292.3,1292300000,7179444.444,2971905,2.42
LTU,Lithuania,2014,6037.4,0,4047.1,1990.3,1990300000,11057222.22,2943472,3.76
LTU,Lithuania,2015,6396.6,0,1440.9,4955.7,4955700000,27531666.67,2921262,9.42
POL,Poland,2010,2860.8,0,273.3,2587.5,2587500000,14375000,38022869,0.38
POL,Poland,2011,2874.5,0,521.4,2353.1,2353100000,13072777.78,38062718,0.34
POL,Poland,2012,3047.7,0,678.5,2369.2,2369200000,13162222.22,38063792,0.35
POL,Poland,2013,4752.3,0,936.7,3815.6,3815600000,21197777.78,38062535,0.56
POL,Poland,2014,7221.3,0,1006.4,6214.9,6214900000,34527222.22,38017856,0.91
POL,Poland,2015,9269.9,0,865.4,8404.5,8404500000,46691666.67,38005614,1.23
CZE,Czech Republic,2010,707.8,0,125,582.8,582800000,3237777.778,10462088,0.31
CZE,Czech Republic,2011,611.6,0,98.3,513.3,513300000,2851666.667,10486731,0.27
CZE,Czech Republic,2012,839.4,0,45.7,793.7,793700000,4409444.444,10505445,0.42
CZE,Czech Republic,2013,1412.8,0,188.1,1224.7,1224700000,6803888.889,10516125,0.65
CZE,Czech Republic,2014,2063.1,0,473.7,1589.4,1589400000,8830000,10512419,0.84
CZE,Czech Republic,2015,2464.9,0,486.1,1978.8,1978800000,10993333.33,10538275,1.04
SVK,Slovakia,2010,341.4,0,0.2,341.2,341200000,1895555.556,5390410,0.35
SVK,Slovakia,2011,438.9,0,0,438.9,438900000,2438333.333,5392446,0.45
SVK,Slovakia,2012,548.4,0,0,548.4,548400000,3046666.667,5404322,0.56
SVK,Slovakia,2013,565,0,0.9,564.1,564100000,3133888.889,5410836,0.58
SVK,Slovakia,2014,942,0,4.2,937.8,937800000,5210000,5415949,0.96
SVK,Slovakia,2015,941.5,0,3,938.5,938500000,5213888.889,5421349,0.96
HUN,Hungary,2010,419.5,0,0,419.5,419500000,2330555.556,10014324,0.23
HUN,Hungary,2011,434.4,0,46.1,388.3,388300000,2157222.222,9985722,0.22
HUN,Hungary,2012,741.2,0,91.3,649.9,649900000,3610555.556,9931925,0.36
HUN,Hungary,2013,847.8,0,44.9,802.9,802900000,4460555.556,9908798,0.45
HUN,Hungary,2014,1966.8,0,228.9,1737.9,1737900000,9655000,9877365,0.98
HUN,Hungary,2015,1762.9,0,194,1568.9,1568900000,8716111.111,9855571,0.88
ROU,Romenia,2010,499.9,0,16,483.9,483900000,2688333.333,20294683,0.13
ROU,Romenia,2011,449.7,0,130.9,318.8,318800000,1771111.111,20199059,0.09
ROU,Romenia,2012,858.3,0,155.4,702.9,702900000,3905000,20095996,0.19
ROU,Romenia,2013,1395.8,0,55.7,1340.1,1340100000,7445000,20020074,0.37
ROU,Romenia,2014,2461.8,0,51.7,2410.1,2410100000,13389444.44,19947311,0.67
ROU,Romenia,2015,3012.5,0,16.9,2995.6,2995600000,16642222.22,19870647,0.84
BGR,Bulgaria,2010,151.1,0,0.5,150.6,150600000,836666.6667,7421766,0.11
BGR,Bulgaria,2011,289.7,0,0,289.7,289700000,1609444.444,7369431,0.22
BGR,Bulgaria,2012,330.1,0,2.5,327.6,327600000,1820000,7327224,0.25
BGR,Bulgaria,2013,371.8,0,0.1,371.7,371700000,2065000,7284552,0.28
BGR,Bulgaria,2014,713.1,0,4.5,708.6,708600000,3936666.667,7245677,0.54
BGR,Bulgaria,2015,851,0,25.9,825.1,825100000,4583888.889,7202198,0.64
SVN,Slovenia,2010,2491.4,0,2242.3,249.1,249100000,1383888.889,2046976,0.68
SVN,Slovenia,2011,2398.2,0,2243.1,155.1,155100000,861666.6667,2050189,0.42
SVN,Slovenia,2012,1562.5,0,985.4,577.1,577100000,3206111.111,2055496,1.56
SVN,Slovenia,2013,1662,0,628.4,1033.6,1033600000,5742222.222,2058821,2.79
SVN,Slovenia,2014,1798.4,0,1247.1,551.3,551300000,3062777.778,2061085,1.49
SVN,Slovenia,2015,2479.7,0,1953.1,526.6,526600000,2925555.556,2062874,1.42
HRV,Croatia,2010,0,0,0,0,0,0,4302847,0.00
HRV,Croatia,2011,0,0,0,0,0,0,4289857,0.00
HRV,Croatia,2012,0,0,0,0,0,0,4275984,0.00
HRV,Croatia,2013,118.6,0,0.3,118.3,118300000,657222.2222,4262140,0.15
HRV,Croatia,2014,356.6,0,0.7,355.9,355900000,1977222.222,4246809,0.47
HRV,Croatia,2015,418.9,0,1.3,417.6,417600000,2320000,4225316,0.55
CYP,Cyprus,2010,382.7,0,0,382.7,382700000,2126111.111,819140,2.60
CYP,Cyprus,2011,87,0,0,87,87000000,483333.3333,839751,0.58
CYP,Cyprus,2012,238.1,0,0,238.1,238100000,1322777.778,862011,1.53
CYP,Cyprus,2013,244.7,0,0,244.7,244700000,1359444.444,865878,1.57
CYP,Cyprus,2014,351.4,0,1.6,349.8,349800000,1943333.333,858000,2.26
CYP,Cyprus,2015,317.4,0,0,317.4,317400000,1763333.333,847008,2.08
